SYMBOL,SECURITY,HI_52_WK,LO_52_WK
SGJHL,SH GANESH JEWEL HOUS(I)LT,12.9,5
SGL,STL GLOBAL LIMITED,19.65,2.55
SHAHALLOYS,SHAH ALLOYS LIMITED,14.35,4.3
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,184,95.15
SHALPAINTS,SHALIM PAINTS LTD,223.5,88.7
SHANTIGEAR,SHANTHI GEARS LTD,143.4,77.35
SHARDACROP,SHARDA CROPCHEM LTD.,463,202.85
SHARDAMOTR,SHARDA MOTOR INDS LTD,1438,733.6
SHARONBIO,SHARON BIO-MEDI LTD,32.5,8.2
SHEMAROO,SHEMAROO ENTER. LTD.,374.9,221.1
SHILPAMED,SHILPA MEDICARE LTD,1020,355
SHILPI,SHILPI CABLE TECH LTD,211.3,44
SHIRPUR-G,SHIRPUR GOLD REFINERY LTD,178.9,46.3
SHIVAMAUTO,SHIVAM AUTO.LTD,74.3,39.55
SHIVTEX,SHIVA TEXYARN LIMITED,238,50.4
SHK,S H KELKAR AND CO. LTD.,354.85,200
SHOPERSTOP,SHOPPERS STOP LIMITED,424.95,333
SHREEPUSHK,SHRE PUSH CHEM & FERT LTD,186.7,71.6
SHREERAMA,SHREE RAMA MULTI TECH LTD,16.6,3.65
SHRENUJ,SHRENUJ & CO LTD,38.5,2
SHREYANIND,SHREYANS INDUSTRIES LTD,89.7,24.65
SHREYAS,SHREYAS SHIPPING & LOGIST,529,133.85
SHRIRAMCIT,SHRIRAM CITYUNI FIN.LTD.,2356,1332.25
SHRIRAMEPC,SHRIRAM EPC LTD.,38.35,19.85
SHYAMCENT,SHYAM CENTURY FERROUS LTD,9.9,4.15
SHYAMTEL,SHYAM TELECOM LIMITED,51.55,26.4
SICAGEN,SICAGEN INDIA LIMITED,26.15,14.2
SICAL,SICAL LOGISTICS LIMITED,191.75,117
SIGNET,SIGNET INDUSTRIES LIMITED,74.5,16
SILINV,SIL INVESTMENTS LIMITED,114.8,65
SIMBHALS,SIMBHAOLI SUGARS LTD.,61.45,24.5
SIMPLEX,SIMPLEX PROJECTS LTD.,45.45,20.4
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,363.05,185
SINTEX,SINTEX INDUSTRIES LTD,107.2,63.5
SITASHREE,SITA SHREE FOOD PROD LTD,16.95,8.7
SITINET,SITI NETWORKS LIMITED,41.7,30.35
SIYSIL,SIYARAM SILK MILLS LTD,1549.9,905.25
SJVN,SJVN LTD,34.4,26.25
SKFINDIA,SKF INDIA LTD,1472.4,1057.55
SKIL,SKIL INFRASTRUCTURE LTD.,46.3,17.25
SKIPPER,SKIPPER LIMITED,219.9,121.95
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,214.8,56.4
SMARTLINK,SMARTLINK NETWORK SYS LTD,111.7,70
SMLISUZU,SML ISUZU LIMITED,1452.8,638.8
SMPL,SUJANA METAL PRODUCTS LTD,4.3,2
SMSPHARMA,SMS PHARMACEUTICALS LTD.,1040.3,71.6
SNOWMAN,SNOWMAN LOGISTICS LTD.,97.7,46
SOBHA,SOBHA LIMITED,348.75,230
SOLARINDS,SOLAR INDUSTRIES (I) LTD,3750.05,588
SOMANYCERA,SOMANY CERAMICS LIMITED,659.8,320
SOMATEX,SOMA TEXTILES & INDUST LT,13.2,3.5
SOMICONVEY,SOMI CONVEYOR BELT. LTD.,54.95,31.9
SONASTEER,SONA KOYO STER SYS LTD,75,37.05
SONATSOFTW,SONATA SOFTWARE LTD,186,125.65
SOTL,SAVITA OIL TECHNOLO. LTD,745,432.6
SOUTHBANK,THE SOUTH INDIAN BANK LTD,25.5,16.35
SPAL,S. P. APPARELS LIMITED,360.8,275
SPARC,SUN PHARMA ADV.RES.CO.LTD,414.9,245.2
SPECIALITY,SPECIALITY REST LTD,156.9,80
SPENTEX,SPENTEX IND. LTD,8.2,1.3
SPHEREGSL,SPHERE GLOBAL SERVICE LTD,90,38
SPIC,SPIC LTD,27.2,16.1
SPICEMOBI,SPICE MOBILITY LIMITED,35.4,11.9
SPLIL,SPL INDUSTRIES LIMITED,44.4,15.2
SPMLINFRA,SPML INFRA LIMITED,109.85,49.2
SPYL,SHEKHAWATI POLY-YARN LTD.,2.55,1
SQSBFSI,SQS INDIA BFSI LIMITED,1291,650
SREEL,SREELEATHERS LIMITED,199,105
SREINFRA,SREI INFRASTRUCTURE FINAN,85.9,39.1
SRF,SRF LTD,1970,1023
SRHHYPOLTD,SREE RAYALSEEMA HHP LTD.,148.35,46
SRIPIPES,SRIKALAHASTHI PIPES LTD,356.45,184.1
SRSLTD,SRS LIMITED,27.05,6
SSWL,STEEL STRIPS WHEELS LTD.,778.25,282.4
STAMPEDE,STAMPEDE CAPITAL LTD,46.65,29
STAR,STRIDES SHASUN LIMITED,1414,847
STARPAPER,STAR PAPER MILLS LTD,138,27.5
STCINDIA,THE STATE TRADING CORPN,173.7,70.1
STEL,STEL HOLDINGS LIMITED,72,20.85
STERLINBIO,STERLING BIOTECH LTD,7.9,2.95
STERTOOLS,STERLING TOOLS LIMITED,1028.8,330
STINDIA,STI INDIA LTD,26.95,7.7
STOREONE,STORE ONE RETAIL IND LTD,247.4,28
STRTECH,STERLITE TECHNOLOGIES LTD,111,69.5
SUBEX,SUBEX LIMITED,16.55,8.2
SUBROS,SUBROS LIMITED,144.45,73
SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,455.35,78
SUJANATWR,SUJANA TOWER LIMITED,18.65,7.25
SUJANAUNI,SUJANA UNI. INDS. LTD.,2.35,1
SUMEETINDS,SUMEET IND LIMITED,42.95,9.4
SUMMITSEC,SUMMIT SECURITIES LTD,505,219.95
SUNCLAYLTD,SUNDARAM CLAYTON LIMITED,3418.4,1755.45
SUNDARAM,SUNDARAM MULTI PAP LTD,5.4,1.65
SUNDARMFIN,SUNDARAM FINANCE LTD,1603.95,1118.6
SUNDRMBRAK,SUNDARAM BRAK LININGS LTD,569,211.15
SUNDRMFAST,SUNDRAM FASTENERS LTD,330,135
SUNFLAG,SUNFLAG IRON AND STEEL CO,41.9,18.35
SUNILHITEC,SUNIL HITECH ENGR. LTD,469,151.3
SUNTECK,SUNTECK REALTY LIMITED,288.65,172
SUNTV,SUN TV NETWORK LIMITED,566.95,314.05
SUPERHOUSE,SUPERHOUSE LIMITED,239.4,124.8
SUPERSPIN,SUPER SPINNING MILLS LTD,20.5,6.25
SUPPETRO,SUPREME PETROCHEMICALS LT,249.5,96
SUPRAJIT,SUPRAJIT ENGINEERING LTD,238,120
SUPREMEIND,SUPREME INDUSTRIES LTD,1025,520
SUPREMEINF,SUPREME INFRA. LTD.,164.5,65.1
SUPREMETEX,SUPREME TEX MART LIMITED,13.05,2.95
SURANAIND,SURANA INDUSTRIES LTD,12.95,4.7
SURANASOL,SURANA SOLAR LIMITED,39.75,15
SURANAT&P,SURANA TELECOM AND POW LT,8.9,4
SURYALAXMI,SURYALAKSHMI COT MIL LTD,165.5,87.9
SURYAROSNI,SURYA ROSHNI LTD,245,118.9
SUTLEJTEX,SUTLEJ TEXT & INDUS LTD,809,406.2
SUVEN,SUVEN LIFE SCIENCES LTD,293.75,144.3
SUZLON,SUZLON ENERGY LIMITED,25.25,12.8
SWANENERGY,SWAN ENERGY LIMITED,109,57.3
SWARAJENG,SWARAJ ENGINES LTD,1428,763.15
SWELECTES,SWELECT ENERGY SYS LTD,518,311.3
SYMPHONY,SYMPHONY LIMITED,2629.8,1071.05
SYNCOM,SYNCOM HEALTHCARE LTD,15.45,5.65
SYNDIBANK,SYNDICATE BANK,97.8,49.4
SYNGENE,SYNGENE INTERNATIONAL LTD,565,338
TAINWALCHM,TAINWALA CHEMICAL AND PLA,60,28.5
TAJGVK,TAJ GVK HOTELS & RESORTS,158.4,64.1
TAKE,TAKE SOLUTIONS LTD,209.8,121.5
TALBROAUTO,TALBROS AUTO. COMP. LTD,162.1,81.95
TALWALKARS,TALWALKAR FITNESS LTD,303,181
TANLA,TANLA SOLUTIONS LIMITED,52.65,26.05
TANTIACONS,TANTIA CONST LTD,29.8,13.55
TARAJEWELS,TARA JEWELS LIMITED,67,30.3
TARAPUR,TARAPUR TRANSFORMERS LTD,9.1,4.5
TARMAT,TARMAT LIMITED,50.5,20
TATACHEM,TATA CHEMICALS LTD,582.1,309.6
TATACOFFEE,TATA COFFEE LIMITED,150,81.3
TATACOMM,TATA COMMUNICATIONS LTD,683.9,325
TATAELXSI,TATA ELXSI LIMITED,2403,1302.5
TATAGLOBAL,TATA GLOBAL BEVERAGES LTD,157.7,100
TATAINVEST,TATA INVESTMENT CORP LTD,690,450.65
TATAMETALI,TATA METALIKS LTD,512.7,77.6
TATASPONGE,TATA SPONGE IRON LIMITED,685,337.9
TBZ,TRIB BHIMJI ZAVERI LTD,137,47.5
TCI,TRANSPORT CORPN OF INDIA,388,175.2
TCIDEVELOP,TCI DEVELOPERS LIMITED,411,262.15
TCIFINANCE,TCI FINANCE LTD,38.8,18.2
TDPOWERSYS,TD POWER SYSTEMS LTD.,330,176.6
TEAMLEASE,TEAMLEASE SERVICES LTD.,1209.45,806.65
TECHIN,TECHINDIA NIRMAN LIMITED,6.7,2.55
TECHNO,TECHNO ELT & ENG CO. LTD,723,289.15
TECHNOFAB,TECHNOFAB ENG LTD,247,136.05
TEXINFRA,TEXMACO INFRA & HOLDG LTD,47,27.55
TEXMOPIPES,TEXMO PIPE & PRODUCTS LTD,39.75,9.95
TEXRAIL,TEXMACO RAIL & ENG. LTD.,154.85,89.6
TFCILTD,TOURISM FINANCE CORP. OF,72,34.75
TFL,TRANSWARRANTY FIN. LTD.,16.25,4.55
TGBHOTELS,TGB BANQUETS&HOTELS LTD,135.5,56.3
THANGAMAYL,THANGAMAYIL JEWELLERY LTD,334.1,177.6
THEMISMED,THEMIS MEDICARE LTD.,659,249
THERMAX,THERMAX LTD,972,690
THIRUSUGAR,THIRU AROORAN SUGARS LTD,118.9,29.9
THOMASCOOK,THOMAS COOK (INDIA) LTD,228.9,165
THYROCARE,THYROCARE TECH LTD,679.85,523.2
TI,TILAKNAGAR INDUSTRIES LTD,28.6,14.4
TIDEWATER,TIDE WATER OIL LTD,33285.7,5200
TIIL,TECHNOCRAFT IND LTD,414.9,177
TIJARIA,TIJARIA POLYPIPES LTD,10.2,3.6
TIL,TIL LTD,552,214.95
TIMESGTY,TIMES GUARANTY LIMITED,28,17
TIMETECHNO,TIME TECHNOPLAST LTD.,107.95,40.2
TIMKEN,TIMKEN INDIA LTD.,640,397.05
TINPLATE,THE TINPLATE CO. (I) LTD,107.7,56.25
TIPSINDLTD,TIPS INDUSTRIES LIMITED,83.5,46.2
TIRUMALCHM,THIRUMALAI CHEMICALS LTD,676,129.8
TNPETRO,TAMILNADU PETROPRODUCTS L,32.25,16.7
TNPL,TAMILNADU NEWSPRT & PAPER,392.35,185.15
TODAYS,TODAYS WRITING INSTRUMENT,6.9,2.4
TOKYOPLAST,TOKYO PLAST INTL LTD,93.7,24.75
TORNTPOWER,TORRENT POWER LTD,252.7,159.8
TPLPLASTEH,TPL PLASTECH LIMITED,560,156
TREEHOUSE,TREE HOUSE EDU LTD,311.4,28.95
TRENT,TRENT LTD,2444,205
TRF,TRF LIMITED,468.9,217.25
TRICOM,TRICOM INDIA LIMITED,3.45,1.15
TRIDENT,TRIDENT LIMITED,63.4,37.15
TRIGYN,TRIGYN TECHNOLOGIES LTD,140.6,43.3
TRIL,TRANS & RECTI. LTD,388.25,165.05
TRITURBINE,TRIVENI TURBINE LIMITED,135.7,88.75
TRIVENI,TRIVENI ENGG. & INDS. LTD,67.95,26.1
TTKHLTCARE,TTK HEALTHCARE LIMITED,1124,805.5
TTKPRESTIG,TTK PRESTIGE LTD,5680,3950
TTL,T T LIMITED,60,38.65
TTML,TATA TELESERV(MAHARASTRA),9.4,5.4
TUBEINVEST,TUBE INVESTMENTS OF INDIA,669.7,351.1
TULSI,TULSI EXTRUSION LTD.,7,1.7
TV18BRDCST,TV18 BROADCAST LIMITED,50,30.75
TVSELECT,TVS ELECTRONICS LTD,160.45,77
TVSMOTOR,TVS MOTOR COMPANY  LTD,401.8,240.9
TVSSRICHAK,TVS SRICHAKRA LIMITED,4248,1946
TVTODAY,TV TODAY NETWORK LTD,350,229.8
TVVISION,TV VISION LIMITED,314,227.45
TWL,TITAGARH WAGONS LTD.,166.35,84
UBHOLDINGS,UNITED BREW. (HOLD.) LTD,60.5,17.7
UCALFUEL,UCAL FUEL SYSTEMS LTD,201.9,87.05
UCOBANK,UCO BANK,55.35,27.4
UFLEX,UFLEX LIMITED,324,132.5
UFO,UFO MOVIEZ INDIA LTD.,623.75,381
UGARSUGAR,THE UGAR SUGAR WORKS LTD,73.2,9.95
UJAAS,UJAAS ENERGY LIMITED,31.8,15.3
UJJIVAN,UJJIVAN FIN. SERVC. LTD.,547.5,216.65
UMANGDAIRY,UMANG DAIRIES LIMITED,87.5,47.4
UNICHEMLAB,UNICHEM LABORATORIES LTD,321.95,188.5
UNIENTER,UNIPHOS ENTERPRISES LTD,78,29.2
UNIONBANK,UNION BANK OF INDIA,177.2,104
UNIPLY,UNIPLY INDUSTRIES LIMITED,321.9,108
UNITECH,UNITECH LTD,9.05,3.45
UNITEDBNK,UNITED BANK OF INDIA,25.45,16.05
UNITEDTEA,UNITED NILGIRI TEA LTD,569,286.25
UNITY,UNITY INFRAPROJECTS LTD,17.75,8.7
UNIVCABLES,UNIVERSAL CABLES LTD,101,50.85
UPERGANGES,UPPER GANGES SUGAR & INDS,532,50.1
USHAMART,USHA MARTIN LTD.,18.45,6.7
USHERAGRO,USHER AGRO LTD,49.25,8.85
UTTAMSTL,UTTAM GALVA STEELS LTD,36.7,22.5
UTTAMSUGAR,UTTAM SUGAR MILLS LTD.,98,16.05
UVSL,UTTAM VALUE STEELS LTD,1.65,0.25
V2RETAIL,V2 RETAIL LIMITED,149.5,41.5
VADILALIND,VADILAL INDUSTRIES LTD,764.8,398
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,620,234
VAKRANGEE,VAKRANGEE LIMITED,241,104.75
VALUEIND,VALUE INDUSTRIES LIMITED,18.95,10
VARDHACRLC,VARDHAMAN ACRYLICS LTD,51.9,25.05
VARDMNPOLY,VARDHMAN POLYTEX LTD.,94.45,32.9
VASCONEQ,VASCON ENGINEERS LTD,41.25,20.55
VASWANI,VASWANI IND LTD,9.8,2.35
VENKEYS,VENKY'S (INDIA) LIMITED,577,220
VENUSREM,VENUS REMEDIES LIMITED,146.5,65.2
VESUVIUS,VESUVIUS INDIA LTD,1119,665.55
VETO,VETO SWITCHGEAR CABLE LTD,161.4,80.6
VGUARD,V-GUARD IND LTD.,1847.7,170
VHL,VARDHMAN HOLDINGS LIMITED,2258,807.7
VICEROY,VICEROY HOTELS LIMITED,28.4,13.55
VIDEOIND,VIDEOCON INDUSTRIES LIMIT,143,98.75
VIDHIDYE,VIDHI DYESTUFFS MFG LTD,74.2,46.2
VIJAYABANK,VIJAYA BANK,45.9,28.2
VIJIFIN,VIJI FINANCE LIMITED,185.8,79
VIJSHAN,VIJAY SHANTHI BUILD LTD,14.45,7.75
VIKASECO,VIKAS ECOTECH LIMITED,25.4,11
VIMALOIL,VIMAL O & F LTD,82.9,39.05
VIMTALABS,VIMTA LABS LIMITED,114.8,59.25
VINATIORGA,VINATI ORGANICS LTD,663.9,360.95
VINDHYATEL,VINDHYA TELELINKS LTD,975,541.1
VINYLINDIA,VINYL CHEMICALS (I) LTD.,81.15,40
VIPIND,VIP INDUSTRIES LTD,150.65,84.3
VIPULLTD,VIPUL LIMITED,100.7,39.3
VISAKAIND,VISAKA INDUSTRIES LIMITED,229.9,88
VISASTEEL,VISA STEEL LIMITED,21.2,12.3
VISHNU,VISHNU CHEMICALS LIMITED,472,158.05
VISUINTL,VISU INTERNATIONAL LTD,3,0.8
VIVIDHA,VISAGAR POLYTEX LTD,97.9,1.95
VIVIMEDLAB,VIVIMED LABS LIMITED,493,68
VKSPL,VKS PROJECTS LIMITED,0.2,0.05
VLSFINANCE,VLS FINANCE LTD,86.4,28.25
VMART,VMART RETAIL LTD,684.9,425
VOLTAMP,VOLTAMP TRANSFORMERS LTD,962,649.55
VOLTAS,VOLTAS LTD,406.4,211
VRLLOG,VRL LOGISTICS LIMITED,450,251.8
VSSL,VARDHMAN SPC STEEL LTD,126.9,35.5
VSTIND,VST INDUSTRIES LTD,2525,1465.05
VSTTILLERS,VST TILLERS TRACTORS LTD,2043,1281
VTL,VARDHMAN TEXTILES LIMITED,1120,680
WABAG,VA TECH WABAG LTD,769.6,408.8
WABCOINDIA,WABCO INDIA LIMITED,7355.05,5165.6
WALCHANNAG,WALCHANDNAGAR INDUSTRIES,190,116
WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD,62.55,20.9
WEIZFOREX,WEIZMANN FOREX LIMITED,235,151.1
WEIZMANIND,WEIZMANN LTD,39,14.1
WELCORP,WELSPUN CORP LIMITED,119.4,69.1
WELENT,WELSPUN ENTERPRISES LTD.,72.5,42.5
WELINV,WELSPUN INV & COMM LTD,89.9,37.1
WELSPUNIND,WELSPUN INDIA LTD,1008,46.05
WENDT,WENDT (INDIA) LIMITED,2178.35,1626
WHEELS,WHEELS INDIA LTD,1419,763.5
WHIRLPOOL,WHIRLPOOL OF INDIA LTD,1197.9,555.55
WILLAMAGOR,WILLIAMSON MAGOR,89.5,50
WINDMACHIN,WINDSOR MACHINES LIMITED,54.95,28.7
WINSOME,WINSOME YARNS LIMITED,2.7,0.55
WOCKPHARMA,WOCKHARDT LIMITED,1745,705.75
WONDERLA,WONDERLA HOLIDAYS LTD.,429.85,295.2
WSI,W.S.INDUSTRIES (I) LTD.,15.3,6.55
WSTCSTPAPR,WEST COAST PAPER MILLS LT,133,52.75
XCHANGING,XCHANGING SOLUTIONS LTD,106.45,28.25
XLENERGY,XL ENERGY LIMITED,6.25,2.4
XPROINDIA,XPRO INDIA LIMITED,66.15,37.7
ZANDUREALT,ZANDU REALTY LIMITED,1698,1220.1
ZEELEARN,ZEE LEARN LIMITED,46.8,26.5
ZEEMEDIA,ZEE MEDIA CORPORATION LTD,34,17
ZENITHBIR,ZENITH BIRLA (INDIA) LTD,1,0.55
ZENITHEXPO,ZENITH EXPORTS LTD,65.05,36.7
ZENSARTECH,ZENSAR TECHNOLOGIES  LTD,1136,803
ZENTEC,ZEN TECHNOLOGIES LIMITED,134.45,58.35
ZICOM,ZICOM ELECT SEC SYS LTD,143.9,36.7
ZODIACLOTH,ZODIAC CLOTHING CO. LTD.,287.2,184.05
ZODJRDMKJ,ZODIAC JRD-MKJ LTD,52,30.5
ZUARI,ZUARI AGRO CHEMICALS LTD,262.9,117.15
ZUARIGLOB,ZUARI GLOBAL LIMITED,136,79.1
ZYDUSWELL,ZYDUS WELLNESS LIMITED,920.9,632.25
ZYLOG,ZYLOG SYSTEMS LTD.,7.25,2.55
AXISGOLD,AXIS MF - AXIS GOLD ETF,2935.4,2230
BANKBEES,GOLDMAN SACHS BANKING ETF,2097.2,1354.95
BSLGOLDETF,BIRLA SL GOLD ETF - GO,3218.4,2201.2
BSLNIFTY,BIRLA SL NIFTY ETF - GO,109,79.5
CPSEETF,GOLDMANAMC - CPSEETF,25.5,17.5
CRMFGETF,CAN ROBECO - GOLD ETF,2975,1965.9
EQ30,EDELAMC - EQ30,256.28,209
GOLDBEES,GOLDMAN SACHS GOLD ETF,2918.8,2260.55
GOLDIWIN,ICICI PRU GOLD IWIN ETF,2885,270.3
GOLDSHARE,UTI GOLD ETF,3013.45,2263
HDFCMFGETF,HDFC GOLD ETF,3157,2267
HDFCNIFETF,HDFCAMC - HDFCNIFETF,1028.9,655.5
IDBIGOLD,IDBI MF - IDBI GOLD ETF,3000.15,2326
IDFNIFTYET,IDFCAMC - IDFNIFTYET,86.91,75.02
INFRABEES,INFRA GOLDMAN SACHS ETF,307.9,225
JUNIORBEES,NIFTY JR GOLDMAN SACH ETF,244.4,168
KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,209.69,136
KOTAKGOLD,KOTAK GOLD ETF,308.7,224.05
KOTAKNIFTY,KOTAK NIFTY ETF,919.1,694.1
KOTAKNV20,KOTAKMAMC - KTKNV20ETF,42.9,29.3
KOTAKPSUBK,KOTAK PSU BANK,350,193.05
LICNETFGSC,LICNAMC - LICNMFET,18.6,12.4
LIQUIDBEES,LIQUID GOLDMAN SACHS ETF,1018,950.9
M100,MOST SHARES M100 ETF,16.78,11.3
M50,MOST SHARES M50 ETF,86.5,64.75
MIDCAPIWIN,ICICI PRU MIDCAP IWIN ETF,66.5,51.13
N100,MOST SHARES N100 ETF,340.65,280.1
NIF100IWIN,ICICIPRU NIFTY100 IWINETF,112,68
NIFTYBEES,NIFTY GOLDMAN SACHS ETF,918.7,694.6
NIFTYIWIN,ICICI PRU NIFTY IWIN ETF,94.99,68.5
PSUBNKBEES,GOLDMAN SACHS PSU BNK ETF,373.34,210.71
QGOLDHALF,QUANTUM GOLD FUND,1450,1145.15
RELBANK,R SHARES BANKING ETF,2241.3,1455
RELCONS,RELCAPAMC - RELCONS,48.67,28.1
RELDIVOPP,RELCAPAMC - RELDIVOPP,23.15,14
RELGOLD,R SHARES GOLD ETF,2777.75,2200.25
RELNIFTY,RELCAPAMC - RELNIFTY,93.47,70.25
SENSEXIWIN,ICICI PRU SENSEX IWIN ETF,309,201
SETFGOLD,SBI-ETF GOLD,2920,2315
SETFNIF50,SBI-ETF NIFTY 50,94.99,68.4
SETFNIFBK,SBI-ETF NIFTY BANK,208,137
SETFNN50,SBI-ETF NIFTY NEXT 50,250,155.01
UTINIFTETF,UTIAMC - UTINIFTETF,909.7,688.5
UTISENSETF,UTIAMC - UTISENSETF,300,227.6
